County,Date,pH,Mg,Cu,Co
Dublin,January 2015,10.6425041435,1.3232065222,0.0398844719,4.1429537831
Dublin,December 1998,1.9434859036,1.3722397267,0.0725606453,4.9622850154
Dublin,April 2013,5.0366366372,1.0314263674,0.0941639171,2.9488241732
Dublin,June 1980,2.214660595,0.2415569341,0.0039517429,2.9442997226
Dublin,January 1975,12.8831729212,0.3970066558,0.0875985982,3.0694407408
Dublin,September 1979,9.950715555,1.4202831849,0.0672796895,4.8021517346
Dublin,October 1989,2.6059594945,0.3548202507,0.0887206768,3.1300236065
Dublin,February 1988,12.4196128467,0.1674903204,0.0056786846,3.1279585255
Dublin,August 2011,10.1874037294,0.0479476051,0.0990976713,3.6951159709
Dublin,August 2010,11.3513114357,0.9544261769,0.0516392371,2.2720691945
Dublin,March 2017,0.4823457388,1.479969785,0.0579209,3.5659855177
Galway,February 1990,9.3287844666,1.0938138352,0.0651238732,2.3787196222
Galway,August 1990,7.2932286095,0.5037973226,0.0243114471,4.067654733
Galway,November 2016,13.0014403883,1.2121536225,0.0054249595,3.3069821141
Galway,January 1985,7.2744535801,0.2587403505,0.0979594223,0.2206939788
Galway,November 1970,0.9096505097,1.3075006493,0.0651976911,3.1217069275
Galway,February 1998,12.7803521794,1.3780141663,0.094465414,1.3670286723
Galway,March 1977,11.0118599664,0.1116767047,0.0313361597,0.0419338704
Galway,August 1981,10.3083572409,0.7540652213,0.0939347449,4.5165526843
Galway,August 1988,7.3867732448,0.1946548363,0.0616368092,4.1963498448
Galway,July 1979,3.6850296915,1.1020877357,0.0449644964,1.6691249656
Galway,December 1975,7.9102519853,0.0913840859,0.035526235,2.9103838197
Galway,July 2010,3.5981464974,1.321897895,0.0538464131,3.1902879015
Galway,September 1982,1.2554599093,1.2328228216,0.068578773,1.1422550921
Galway,December 2004,4.7746358725,0.4725530185,0.0534789538,2.7446068889
Galway,April 1998,9.8267875089,0.0402291849,0.0599561601,3.6443062286
Galway,December 2016,1.3768602806,1.3194640821,0.0232068098,1.9299170571
Galway,August 2001,7.9064173936,1.2515429041,0.0883376645,3.9050582549
Galway,June 2010,3.9786778282,0.6937968931,0.0776602264,0.582713314
Galway,January 1981,3.8509778002,0.3341889546,0.0380392031,0.3142565369
Galway,September 2011,7.7623456882,1.0440149497,0.0909487138,2.3474422977
Galway,January 1977,8.6546664864,0.474133764,0.0759584269,2.4120481255
Galway,December 1991,13.5345162372,1.1519093809,0.0269541214,0.8941301441
Galway,March 1986,8.3288180874,0.2729296665,0.0696683658,3.5990381313
Galway,April 1983,2.0431282314,0.799994975,0.0974358089,3.1275887371
Galway,July 1981,12.6256363992,0.2786770861,0.0645400205,4.0228412438
Galway,June 1996,3.7016188826,1.190440091,0.0121959325,2.5420297816
Galway,October 1978,9.9861937761,0.0501644441,0.0085612131,1.2431225983
Galway,September 2013,4.3989576063,1.338605029,0.0896071621,1.606022615
Galway,December 1992,7.8245401432,0.7766340888,0.060462512,0.9890941494
Galway,November 1975,11.1517544586,0.07129328,0.0267428126,4.92726765
Galway,March 1984,11.6307540661,1.062032177,0.0250151701,1.5786441499
Galway,January 1978,4.5695532162,0.6782362969,0.0618832723,0.8023341721
Galway,February 1974,6.6350851711,0.3273354952,0.0835852198,3.3898997537
Galway,November 1973,10.5760218139,1.4973650658,0.0493969094,1.7406651595
Kerry,February 1982,13.9613660162,1.016494871,0.0674572382,4.580992438
Kerry,January 1979,10.1240840585,0.0182507671,0.0397903814,2.6613863151
Kerry,August 1987,6.2465707063,0.614938304,0.0801820899,2.4259360697
Kerry,October 1972,11.6795061041,1.2297396559,0.0163203225,2.9645497878
Kerry,March 2012,2.4517899886,0.8454471174,0.0132675418,4.3423078476
Kerry,October 2005,5.3034091942,1.2071766474,0.0612050029,1.1650196661
Kerry,March 1996,2.2039940881,1.0465910986,0.0972332322,2.24996789
Kerry,April 2000,10.5593990074,0.32957278,0.0158194022,4.1074530434
Kerry,March 2009,2.6405729957,0.6923825792,0.0944467421,1.9273659762
Kerry,December 1984,4.993013259,0.2415341113,0.0406134005,4.3767703345
Kerry,September 1981,3.2442709623,1.1373595854,0.0048630459,3.6486267799
Kerry,February 1973,8.0840958283,0.5666432583,0.0205562539,0.820717815
Kerry,February 2001,7.1796992945,0.4406747346,0.0175583979,4.6747620615
Kerry,February 2005,10.1413702337,0.7257278899,0.0729142236,3.633646878
Kerry,December 2002,10.618737343,0.7590562643,0.0157251749,3.1914810935
Kerry,August 1993,3.7520245012,0.4729347453,0.0448950169,3.7071375232
Kerry,July 1983,3.5085324727,0.3387919523,0.0390987042,4.2378256869
Kerry,February 1979,8.5886917677,0.2337849892,0.0661544821,0.5899393435
Kerry,March 1972,0.4114511077,0.1233074045,0.0990428174,2.2576309734
Kerry,February 1999,2.2819202808,0.4840423729,0.0795334107,0.7610666485
Kerry,February 2016,2.7765168587,0.2515346958,0.0823135772,4.4509444473
Kerry,September 1997,1.6911562872,0.6834603869,0.0368517276,2.7521217799
Kerry,June 2010,6.3476035326,0.1192786492,0.0566369182,0.047775615
Kerry,February 2002,7.3004197656,1.14619043,0.0992927599,3.3928047965
Kerry,January 1989,12.5045820623,0.8226602166,0.0402899349,3.9388892904
Kerry,November 1989,4.7159991617,1.1159780257,0.0690474868,2.1603092611
Kerry,February 2003,11.6714621318,0.224027804,0.0018310456,3.4320026171
Kerry,March 1977,10.6849871952,0.7829233693,0.0258474197,2.2673456292
Kerry,June 1990,7.5068952898,0.414997389,0.023396344,2.298133679
Kerry,December 2014,1.9848235855,0.2407423652,0.0188734201,4.3149106411
Kerry,December 1970,4.9804536398,0.4938358065,0.0905037173,3.1412369271
Kerry,June 1997,3.9748557643,1.3857081347,0.0367095151,1.1557813331
Kerry,February 1997,2.3651173645,0.0210323799,0.0902362841,0.4694802453
Kerry,July 1973,11.1559629058,0.5980772098,0.0748362662,1.4590069701
Kildare,March 1987,1.2535147639,1.0876754053,0.0325548437,4.1478019786
Kildare,April 1988,7.1627375329,0.4732957268,0.047241897,3.9360508315
Kildare,July 1975,4.1770128764,1.2437042826,0.0710608181,2.0060533092
Kildare,October 1994,6.6975483904,1.3796747417,0.026346274,1.2259683713
Kildare,June 1988,10.1831597771,0.9494332964,0.0646572069,1.8762146125
Kildare,February 2004,10.617550442,1.058093821,0.0762428803,3.9036237482
Kildare,July 2016,11.5406892151,1.0066642987,0.09150729,1.9840011037
Kildare,June 2009,4.3021048483,0.4215537586,0.0559111748,4.0641158276
Kildare,April 2003,10.1438535386,0.3147929578,0.0413747793,4.0786078348
Kildare,September 1998,13.4114979257,0.7800111178,0.0747926854,1.5829983898
Kildare,February 1996,10.9767600344,0.3405062631,0.0140959511,4.6954619116
Kildare,September 2009,13.8938525912,0.4871419632,0.0235323643,3.8618258233
Kildare,July 2000,7.9070275599,1.2965903306,0.0915983381,0.3037002344
Kildare,April 2005,5.1947043416,1.2189528187,0.0968064629,0.2324542718
Kildare,October 2012,0.2020804559,0.0389884121,0.0507651534,3.1678589523
Kildare,October 2004,6.1455133856,0.0288377019,0.0008279349,4.2229667869
Kildare,November 1976,9.014777283,0.9143242807,0.0434062339,1.5516451535
Kildare,March 2005,1.9241238615,0.8771952513,0.0617221756,4.9182674214
Kildare,July 1996,13.8207609149,0.7021483684,0.0871394039,1.7241840186
Kildare,February 1994,6.1157420535,1.1956993402,0.0621645825,4.3648280764
Kildare,January 2012,4.668034585,0.6891582884,0.0491148423,3.9206775046
Kildare,November 1979,3.156404234,0.1971842441,0.0819136318,1.9718107174
Kildare,October 1997,0.0244458528,1.3621711244,0.0011038702,2.1502289031
Kildare,January 1970,5.7927465748,1.4680854063,0.0042660335,0.227657027
Kildare,April 2017,6.1739588574,0.3797240251,0.0382960999,2.2466709623
Kildare,March 1980,11.712264826,1.2696422994,0.0141182457,3.7259644496
Kildare,September 2005,12.2713125497,0.1358403539,0.0264679647,4.6674987303
Kildare,September 1980,5.3244746229,0.1918728824,0.081555434,4.8997508828
Kildare,March 1998,8.9485188547,1.0870284987,0.0368435984,1.5482153778
Kildare,October 1994,12.9839245527,0.8192600503,0.0139112446,1.9174106333
Kildare,February 1976,4.3575925154,0.2587628687,0.0023243587,2.6844669258
Kildare,June 2008,13.1972134127,0.9690935687,0.0296570339,3.2782593464
Kildare,June 2005,9.9281085576,1.4767520302,0.0442767149,2.8823922824
Kildare,August 1985,11.7744558205,1.268475413,0.0783169882,1.7401672061
Kilkenny,October 1990,7.4877588247,0.5989926027,0.066078635,3.5151116608
Kilkenny,June 2014,3.6965265683,0.7150749495,0.0894992231,3.6513671327
Kilkenny,April 2007,0.9045272843,0.8642814358,0.0423816613,3.1240929038
Kilkenny,August 1989,3.738777909,0.4681071225,0.0276950708,2.9545772434
Kilkenny,December 2003,0.6475589831,1.2311826529,0.003973689,2.4077849715
Kilkenny,April 2008,8.6803717179,0.4351051973,0.0900327872,3.0764066513
Kilkenny,September 2008,13.4547011401,0.3300839044,0.0843890359,3.7389574439
Kilkenny,November 1997,2.9286776121,1.492391354,0.0103438577,3.4170018399
Kilkenny,December 1985,1.5757112632,0.502047201,0.0459734948,1.4610814109
Kilkenny,April 2005,9.3482755253,0.4357661953,0.0888452194,3.9430911441
Kilkenny,March 1985,7.5765682569,0.1630314335,0.0610773891,2.0898559888
Kilkenny,January 1974,7.1807569081,1.0462208854,0.0392384759,0.9836762316
Kilkenny,March 1978,0.3306080888,0.0715260268,0.0585685687,3.8216333722
Kilkenny,July 2018,7.37360327,0.9625136927,0.0439452335,1.3435399715
Kilkenny,December 2006,5.6562086711,0.4888040987,0.0044884,0.0433990532
Kilkenny,December 2014,4.9862418915,1.3134117493,0.0996386229,4.1076705699
Kilkenny,April 1994,8.7038748184,1.0745907019,0.0953104265,3.1412923311
Kilkenny,June 2000,11.9186575437,0.6350594611,0.0032079303,4.9436203724
Kilkenny,March 2000,9.0637260288,0.3390720282,0.0602420432,4.2544304443
Kilkenny,December 2015,7.8635403013,0.0723664424,0.0337407167,1.4293554641
Kilkenny,December 2018,3.0368473206,1.383212745,0.0230790946,1.6392801828
Kilkenny,March 1974,5.9179561733,0.8684894392,0.0772498549,2.9721786142
Kilkenny,April 2018,3.346895957,1.2151251364,0.0994189421,4.2098220638
Kilkenny,April 1978,8.1218469398,0.5945712681,0.0475448268,1.8768792178
Kilkenny,July 1998,2.8817690214,0.8197884054,0.0174730586,0.6098181288
Kilkenny,March 2006,3.693965675,0.9595247444,0.0246198777,4.7671298953
Kilkenny,October 1989,5.7233118685,0.522086898,0.0315490678,1.501582102
Kilkenny,March 1992,5.575318026,0.3970860984,0.0785107208,0.8174969987
Kilkenny,March 1973,2.4560702508,0.309775059,0.0934636304,4.8903767454
Kilkenny,April 1982,11.4924470432,1.0223889717,0.0657079616,1.9199806506
Kilkenny,July 1984,7.6555448638,0.1287438127,0.065856293,2.2996556632
Kilkenny,July 1973,13.0129110768,1.1708999591,0.0233850179,4.7958457672
Kilkenny,April 1985,10.830884029,0.1001727544,0.0671777247,3.0880653044
Kilkenny,June 2013,9.964191854,0.2627992258,0.074649844,4.6217401988
Laois,April 2001,10.4717823047,1.054748172,0.0711255541,0.1377888814
Laois,March 1988,6.9818428627,0.7008290511,0.0733190111,3.8539659481
Laois,March 1972,7.6102422958,0.6739039491,0.0875611242,3.6777876295
Laois,August 1991,6.7179785795,1.2693484508,0.0334790567,1.4387469168
Laois,December 2008,7.7275493223,0.050488086,0.0659702789,2.8011418243
Laois,June 1999,8.2343224851,0.3311270918,0.0530856562,1.4241681473
Laois,March 1976,9.5486002962,0.5753421936,0.0904980191,3.2442043993
Laois,November 1981,2.3653056559,0.1853266628,0.0620853822,4.8120143264
Laois,March 1970,7.3572066246,1.4157193829,0.013202107,0.2142163712
Laois,June 2003,7.1702285653,1.0008404253,0.0289901012,1.0513924638
Laois,August 1970,2.9486437896,0.5540210167,0.0549720252,1.0752254206
Laois,October 2011,6.0214633453,0.0499589505,0.0502234036,2.1318197651
Laois,June 1990,9.1403535882,0.2967147211,0.0555090291,0.0429997881
Laois,December 1974,9.6467034457,0.4343671273,0.0165525677,4.249494634
Laois,June 1983,13.678166347,0.9129036539,0.0266213022,2.4722949691
Laois,February 1984,5.7188882069,0.1234233173,0.0267412912,1.4943157014
Laois,January 1971,3.8173979069,0.100427469,0.0474007417,1.65129092
Laois,March 2002,5.8563640848,0.1709016667,0.0579746629,4.5668444088
Laois,December 2013,12.0428340487,0.4936308153,0.005639434,2.4772358478
Laois,November 1999,11.4395995275,1.3693234267,0.060678152,2.6810154088
Laois,October 2008,7.7355991025,0.3175999397,0.0784498286,2.3969528478
Laois,June 2017,10.6247796674,0.0327601387,0.0870547363,1.6489649061
Laois,February 2009,7.7677008241,1.0029437655,0.0475863961,4.4069219899
Laois,November 1978,10.1656392109,0.1310261564,0.0998214819,1.6139195443
Laois,January 1975,13.7539316725,0.3536326389,0.0908350614,3.2912325249
Laois,June 2007,11.1253528478,0.7532823392,0.013989178,4.36216072
Laois,September 2015,2.5678177276,1.3337233792,0.0504159207,4.2367598946
Laois,April 2000,3.3434071135,0.3664135108,0.0782352294,0.3324537255
Laois,June 1977,6.6963240448,0.1459604118,0.0956512625,4.6723055327
Laois,July 1988,7.6971101479,1.4817458314,0.0469117809,2.6377038723
Laois,June 1980,6.7442802747,1.4888322782,0.082989275,3.3915428094
Laois,March 1997,11.1627180286,0.5573951872,0.0717441837,3.2868571458
Laois,December 1994,1.3469199431,1.2366451626,0.0807587613,1.3388898676
Laois,March 2001,5.1176955282,0.2415644235,0.0668669813,1.858997521
Leitrim,March 1994,1.7413746666,1.147506658,0.0199939114,3.2026143641
Leitrim,April 2001,10.4412352164,0.3814074308,0.0346800798,1.2330275488
Leitrim,December 1977,5.7193722944,0.065247526,0.066856517,1.0803388438
Leitrim,July 2017,9.8011054366,0.857269689,0.0054652197,3.9954696965
Leitrim,March 2002,3.6550913338,0.2478854081,0.0460574922,2.6388576588
Leitrim,August 2014,3.3663371972,1.4083931521,0.0108313346,4.6439973971
Leitrim,July 1999,2.4149079347,0.1959015263,0.0357187471,3.6804238518
Leitrim,March 1973,0.5415799523,0.0598390214,0.0976983852,2.8037229926
Leitrim,January 1991,13.1599702816,0.7923653844,0.007270408,3.2154103167
Leitrim,December 2008,4.0525926058,1.0541315345,0.0328350041,0.1502977715
Leitrim,March 1981,5.6831927451,0.9301335437,0.0380585547,1.0824061569
Leitrim,December 1978,5.3142979892,0.2195169657,0.0346694605,2.4771453594
Leitrim,January 1988,2.4829616918,0.1307925687,0.0023846497,3.7469776073
Leitrim,January 2001,4.8180402283,0.6240102045,0.053058565,4.5901027072
Leitrim,January 1973,13.1056043279,0.9808846183,0.0742523927,1.936908323
Leitrim,March 2004,7.1569370118,0.255568231,0.0225673136,2.0664025787
Leitrim,January 1989,11.4249792216,0.1608256897,0.014168726,2.9028791027
Leitrim,September 1985,5.759459593,0.2251931196,0.0129599997,2.8232983448
Leitrim,June 1986,12.7387878066,0.0602083294,0.0998302053,2.2323566884
Leitrim,November 1983,10.6711535873,0.2252987548,0.0853171812,1.1177977323
Leitrim,July 1979,4.2273027511,0.5758421395,0.0387478167,0.599356607
Leitrim,December 2009,10.1931125085,1.3176926715,0.073793345,0.1219426713
Leitrim,August 1973,5.1166666365,0.0173419009,0.0771414979,3.8875488492
Leitrim,February 1995,9.9073327802,0.6315648544,0.0749610073,1.7643444502
Leitrim,June 2007,5.7353137282,1.2114564772,0.0040041485,4.5806726029
Leitrim,August 1990,10.6831331812,0.7778327524,0.0419643998,0.0680829816
Leitrim,March 1988,2.5004094838,0.5352804545,0.0581121807,3.9061991981
Leitrim,December 1988,6.1597649912,0.2090808604,0.0896590995,4.1198511182
Leitrim,March 1993,5.7512512109,1.4043676329,0.005761077,3.5836375963
Leitrim,August 1975,5.5907675066,0.0607280139,0.086306657,3.4925423658
Leitrim,April 1998,4.4839071886,0.6414716674,0.0698282461,3.0165270647
Leitrim,September 1995,13.3722924956,1.0450077259,0.0166828989,2.1965296848
